restaurant_name,url,judgment,confidence,reason,address,rating,phone_number,screenshot_taken,timestamp
Alberts,https://m.facebook.com/albertsthorley/?locale2=en_GB,Modern,95,"The design features a clean, minimalistic layout with ample white space, which is a hallmark of modern web design. The typography is clear and legible, using modern fonts. The color scheme is simple and effective, with a clear visual hierarchy. The UI elements, such as buttons, are flat and follow current design trends. The layout appears responsive, adhering to mobile-first design principles.","Neighborhood Centre, 13 Thorley Ln E, Bishop's Stortford CM23 4EG, UK",4.7,01279 507799,True,2025-07-27T12:07:30.784109
Phil's Cuisine Ltd,http://philscuisine.com/,Modern,90,"The website features a clean and responsive layout with a clear grid system. The typography is modern and elegant, enhancing the visual appeal. The color scheme is sophisticated, with a good use of white space that adds to the overall aesthetic. Navigation elements are minimalistic and align with current design trends, and the design appears to follow mobile-first principles.","N/A, Bishop's Stortford CM23 5AL, UK",4.5,01279 956963,True,2025-07-27T12:07:41.379909
The Rivermill,http://www.therivermill.net/,Outdated,85,"The website uses a fixed-width layout with a lack of responsiveness, which is not aligned with modern design trends. The typography appears to use default system fonts rather than modern web fonts. The color scheme lacks a strong visual hierarchy, and the navigation is basic without modern UI elements. Overall, the design lacks visual sophistication and does not adhere to mobile-first design principles. There is also a lack of effective use of white space, leading to a cluttered appearance.","Millars 1, Southmill Rd, Bishop's Stortford CM23 3DH, UK",4.3,01279 503799,True,2025-07-27T12:07:54.080541
Baan Thitiya - Thai Cuisine,https://baan-thitiya.com/,Modern,90,"The website design features a responsive layout with a clear grid system, modern typography, and a cohesive color scheme that enhances visual hierarchy. The navigation is intuitive, and the use of white space is effective, aligning with mobile-first design principles. Overall, the design reflects current trends in web design.","102 London Rd, Bishop's Stortford CM23 3DS, UK",4.5,01279 658575,True,2025-07-27T12:08:11.359860
Gourmet Oriental Bishop’s Stortford,http://www.gourmetorientalstortford.co.uk/,Modern,90,"The website features a responsive layout with a clear grid system, modern typography, and a visually appealing color scheme. The navigation is straightforward, and the use of white space enhances readability. The design aligns with current trends, emphasizing a mobile-first approach and visual sophistication.","88 South St, Bishop's Stortford CM23 3BG, UK",3.9,01279 505799,True,2025-07-27T12:08:29.717221
The Pizza Guys,https://www.thepizzaguysonline.com/,Outdated,85,"The website design appears outdated due to several factors: the layout seems fixed-width rather than responsive, and the typography uses default system fonts instead of modern web fonts. The color scheme lacks a strong visual hierarchy, and the navigation patterns and UI elements are basic. Additionally, the overall visual sophistication does not align with current design trends, and there is a lack of mobile-first design principles and effective use of white space.","The Pizza Guys, Millers Three, Southmill Rd, Bishop's Stortford CM23 3DH, UK",4.5,01279 656888,True,2025-07-27T12:08:47.332445
South Street Pantry,http://www.southstreetpantry.co.uk/,Outdated,85,"The design appears outdated due to its excessive white space and lack of visual elements. The typography is basic, and the layout is simplistic without any modern grid systems or responsive design elements. The color scheme is minimal, and there is a lack of visual hierarchy and sophistication. The design does not reflect current trends or mobile-first principles.","Town Centre, 70 South St, Bishop's Stortford CM23 3AZ, UK",4.5,01279 659510,True,2025-07-27T12:09:07.127186
Tandoori Cottage,https://tandooricottage-stortford.co.uk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,Modern,85,"The website features a responsive layout with a clear grid system, modern typography, and a clean color scheme. The navigation is straightforward, and the UI elements are minimalistic, aligning with current design trends. The use of white space is effective, and the design appears to follow mobile-first principles.","Southmill Rd, Bishop's Stortford CM23 3DH, UK",4.0,01279 653513,True,2025-07-27T12:09:15.774366
H@ME & EAT,http://www.homeandeat.com/,Outdated,85,"The website uses a fixed-width layout and lacks a modern grid system, which is evident from the alignment and spacing. The typography appears to rely on default system fonts rather than modern web fonts, and the color scheme lacks a sophisticated visual hierarchy. Navigation patterns and UI elements are basic, and the overall design does not reflect current trends such as mobile-first principles or effective use of white space.","Unit 3 4b Birchanger Industrial Estate, Stansted Road, Bishop's Stortford CM23 2TH, UK",4.3,01279 814644,True,2025-07-27T12:09:26.035342
The Kebabery,https://www.kebaberyonline.co.uk/,Outdated,90,"The website uses a fixed-width layout with minimal responsiveness, default system fonts, and lacks a modern grid system. The color scheme is basic, and the visual hierarchy is not well-defined. Navigation patterns and UI elements are simplistic, and the overall design lacks visual sophistication and adherence to current design trends. There is also a lack of mobile-first design principles and effective use of white space.","5 Station Rd, Bishop's Stortford CM23 3BJ, UK",4.2,01279 654428,True,2025-07-27T12:09:44.059800
Zara Indian Dining,http://www.zara-dining.co.uk/,Modern,90,"The website features a responsive layout with a grid system, modern typography, and a visually appealing color scheme. The navigation is clear and uses contemporary UI elements. The design incorporates mobile-first principles and makes effective use of white space, aligning with current design trends.","24 Hadham Rd, Bishop's Stortford CM23 2QS, UK",4.3,01279 507777,True,2025-07-27T12:09:55.394551
Nags Head,https://www.mcmullens.co.uk/local-pub/nags-head-bishops-stortford/,Outdated,85,"The website design appears outdated due to its fixed-width layout and lack of responsiveness. The typography uses default system fonts rather than modern web fonts, and the color scheme lacks visual hierarchy. Navigation patterns and UI elements are basic, and the overall design lacks visual sophistication and alignment with current design trends. Additionally, there is a lack of mobile-first design principles and inefficient use of white space, leading to content density issues.","216 Dunmow Rd, Bishop's Stortford CM23 5HP, UK",4.3,01279 654553,True,2025-07-27T12:10:15.123353
Coffee House,https://www.facebook.com/coffeehousebs/,Modern,90,"The design features a clean and minimalistic layout with ample white space, which is a hallmark of modern web design. The typography is clear and likely uses web-safe fonts, and the color scheme is simple and effective. The use of a modal for cookie consent is a common modern UI pattern, and the overall design appears responsive and mobile-friendly.","35 South St, Bishop's Stortford CM23 3AG, UK",4.4,,True,2025-07-27T12:10:29.831590
Sabrosa Del Fuego,https://www.sabrosadelfuego.co.uk/,Modern,90,"The website features a responsive layout with a clear grid system, modern typography, and a visually appealing color scheme. The navigation is intuitive, and the use of white space enhances readability. The design aligns with current trends, emphasizing visual hierarchy and mobile-first principles.","30 High St, Bishop's Stortford CM23 2LX, UK",4.7,01279 801468,True,2025-07-27T12:10:40.276954
Luna Bistro,https://www.lunabistro.co.uk/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=16811371490800265492,Unclear,0,Failed to take screenshot,"31 North St, Bishop's Stortford CM23 2LD, UK",,01279 222214,False,2025-07-27T12:11:00.518337
Le Péché Mignon,https://www.lepechemignon.co.uk/,Modern,90,"The website features a clean, minimalist design with a focus on visual elements, such as the background image. The typography is modern and well-chosen, and the buttons have a contemporary look with rounded edges and subtle shadows. The use of white space and the overall layout suggest a mobile-first approach, aligning with current design trends.","3A High St, Bishop's Stortford CM23 2LS, UK",4.9,01279 654004,True,2025-07-27T12:11:02.620638
Franco Manca Bishop's Stortford,https://www.francomanca.co.uk/,Modern,85,"The website features a clean and minimalistic design with ample white space, which is a hallmark of modern web design. The typography appears to use modern fonts, and the layout seems responsive, suggesting a mobile-first approach. The color scheme is subtle and visually appealing, and the navigation elements are simple and intuitive.","15 North St, Bishop's Stortford CM23 2LD, UK",4.7,01279 295376,True,2025-07-27T12:11:25.134953
Paisá,https://paisawinebar.com/,Modern,90,"The website features a responsive layout with a clean grid system, modern typography, and a sophisticated color scheme. The use of white space and visual hierarchy is well-executed, and the navigation is intuitive. The design aligns with current trends and mobile-first principles.","42H North St, Bishop's Stortford CM23 2LR, UK",4.9,01279 832781,True,2025-07-27T12:11:38.132169
Roni's Restaurant,http://www.ronisrestaurant.co.uk/,Modern,90,"The website features a responsive layout with a clear grid system, modern typography, and a sophisticated color scheme. The navigation is intuitive, and the use of white space is effective, aligning with current design trends and mobile-first principles.","16 North St, Bishop's Stortford CM23 2LQ, UK",4.7,01279 508856,True,2025-07-27T12:11:49.503465
No.14,https://no-14.com/,Unclear,0,Failed to take screenshot,"14 North St, Bishop's Stortford CM23 2LQ, UK",4.3,01279 597548,False,2025-07-27T12:12:05.476249
Tandoori Cottage,https://tandooricottage-stortford.co.uk/,Modern,90,"The website features a responsive layout with a clear grid system, modern typography, and a clean color scheme. The navigation is straightforward, and the use of white space is effective, aligning with current design trends. The presence of mobile-first design elements, such as the mobile app promotion, further supports a modern design.","Half Acres, Bishop's Stortford CM23 2ET, UK",,01279 653513,True,2025-07-27T12:12:37.548309
lockdown Pizza,http://www.lockdown-pizza.co.uk/,Unclear,100,"The screenshot is blank, making it impossible to assess the design elements such as layout, typography, color schemes, and other factors.","4 The corn exchange, Bishop's Stortford CM23 3UU, UK",3.9,01279 657000,True,2025-07-27T12:12:50.945427
Zeyna Bistro Bar,http://www.zeynabistrobar.co.uk/,Modern,90,"The website features a responsive layout with a clear grid system, modern typography, and a cohesive color scheme. The use of white space is effective, and the navigation is intuitive. The design aligns with current trends, emphasizing visual hierarchy and mobile-first principles.","3 Corn Exchange, Bishop's Stortford CM23 3UU, UK",4.8,01279 658728,True,2025-07-27T12:12:57.308712
Giggling Squid - Bishop's Stortford,https://www.gigglingsquid.com/restaurant/bishop-stortford/?utm_source=google&utm_medium=organic&utm_campaign=business&utm_content=bishop-stortford&y_source=1_MjU0Njc4MjQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Modern,90,"The website features a responsive layout with a clear grid system, modern typography, and a visually appealing color scheme. The navigation is intuitive, and the use of white space enhances readability. The design aligns with current trends, emphasizing visual sophistication and mobile-first principles.","2-4 North St, Bishop's Stortford CM23 2LQ, UK",4.4,01279 503427,True,2025-07-27T12:13:12.692932
Caffeinn,https://caffeinn.edan.io/,Outdated,85,"The website design appears outdated due to its fixed-width layout, lack of modern typography, and minimal use of white space. The navigation and UI elements seem basic and do not reflect current design trends. Additionally, the visual hierarchy is unclear, and the overall design lacks sophistication and mobile-first principles.","Florence Walk, North St, Bishop's Stortford CM23 2NZ, UK",4.6,01279 501275,True,2025-07-27T12:13:27.808704
Nuwairah’s - Bar and Restaurant,https://nuwairahs.co.uk/,Modern,90,"The website design features a responsive layout with a clear grid system, modern typography, and a sophisticated color scheme. The use of white space and visual hierarchy is well-executed, and the navigation patterns are intuitive. The design aligns with current trends, emphasizing a mobile-first approach and visual sophistication.","9 Northgate End, Bishop's Stortford CM23 2ET, UK",3.9,01279 801266,True,2025-07-27T12:13:38.660150
Fried Tubs,https://friedtubs.co.uk/,Modern,90,"The website features a responsive layout with a visually appealing grid system. The typography uses modern fonts that enhance readability and style. The color scheme is vibrant, with a clear visual hierarchy that guides the user's attention. Navigation patterns are intuitive, and UI elements are sleek and minimalistic. The design reflects current trends with a focus on mobile-first principles and effective use of white space.","9 Northgate End, Bishop's Stortford CM23 2ET, UK",3.0,01279 801268,True,2025-07-27T12:14:02.423141
Between Buns,https://betweenbuns.co.uk/,Modern,90,"The website features a responsive layout with clear grid systems, modern typography, and a visually appealing color scheme. The navigation is straightforward, and the use of white space is effective, contributing to a clean and organized look. The design aligns well with current trends, emphasizing visual hierarchy and mobile-first principles.","9 Northgate End, Bishop's Stortford CM23 2ET, UK",4.8,01279 801268,True,2025-07-27T12:14:13.889774
Sushi and shake,http://www.sushiandshakes.com/,Modern,90,"The website features a responsive layout with a clear grid system, modern typography, and a visually appealing color scheme. The use of white space is effective, and the navigation is straightforward. The design aligns with current trends, emphasizing visual hierarchy and mobile-first principles.","9 Northgate End, Bishop's Stortford CM23 2ET, UK",3.3,01279 801267,True,2025-07-27T12:14:23.964349
Sushi Daily Bishop's Stortford,https://sushidaily.com/gb-en/?utm_source=google&utm_medium=local&utm_content=UK&utm_term=UK0001,Modern,90,"The website features a responsive layout with a clear grid system, modern typography, and a clean color scheme that enhances visual hierarchy. The navigation is intuitive, and the use of white space is effective, aligning with mobile-first design principles. Overall, the design reflects current trends in web design.","Northgate End, Bishop's Stortford CM23 2BA, UK",5.0,01279 466556,True,2025-07-27T12:14:37.543061
Ohba Leaf Kitchen BISHOP'S STORTFORD,https://ohbaleaf.co.uk/,Modern,90,"The website features a responsive layout with a clear grid system, modern typography, and a visually appealing color scheme. The navigation is straightforward, and the use of white space enhances readability. The design aligns with current trends, emphasizing visual hierarchy and mobile-first principles.","23 Potter St, Bishop's Stortford CM23 3UH, UK",4.7,01279 886562,True,2025-07-27T12:14:54.953201
Smokyy Egg,https://smokyyegg.co.uk/,Modern,90,"The website features a responsive layout with a clear grid system, modern typography, and a visually appealing color scheme. The navigation is straightforward, and the use of white space enhances readability. The design aligns with current trends, emphasizing visual sophistication and mobile-first principles.","23 Potter St, Bishop's Stortford CM23 3UH, UK",4.8,,True,2025-07-27T12:15:11.950729
Ruby's Indian Takeaway Bishop’s Stortford,https://www.rubys.org.uk/,Outdated,85,"The website design appears outdated due to several factors: the layout seems fixed-width rather than responsive, the typography uses basic fonts, and the color scheme lacks modern visual hierarchy. The navigation and UI elements are basic, and the overall design lacks the sophistication seen in current trends. Additionally, the use of white space and content density does not align with mobile-first design principles.","5 Newtown Rd, Bishop's Stortford CM23 3SA, UK",3.8,01279 912929,True,2025-07-27T12:15:29.052040
Caribbean mixup Ltd,http://www.caribbeanmixup.com/,Unclear,100,"The screenshot is completely blank, making it impossible to assess any design elements or trends.","8 Station Rd, Bishop's Stortford CM23 3BL, UK",4.7,01279 801285,True,2025-07-27T12:15:43.282475
Wich & Crust,https://deliveroo.co.uk/menu/london/bishops-stortford/wich-and-crust,Unclear,0,Failed to take screenshot,"Bishops Stortford Railway, Station, Station Rd, Bishop's Stortford CM23 3BL, UK",4.7,,False,2025-07-27T12:15:50.263423
Mint Leaf,https://mintleafonline.com/,Outdated,90,"The website design appears outdated due to its fixed-width layout, use of default system fonts, and lack of modern visual hierarchy. The navigation and UI elements seem basic, and there is minimal use of white space, leading to a cluttered appearance. The design does not reflect current trends or mobile-first principles.","Millers One, Southmill Rd, Bishop's, Stortford CM23 3DH, UK",4.2,01279 655660,True,2025-07-27T12:16:22.343004
Fish Inn Kebab,https://www.fishinnkebab.com/,Outdated,85,"The website uses a fixed-width layout and lacks a modern grid system. The typography appears to use default system fonts rather than modern web fonts. The color scheme is basic, and the visual hierarchy is not well-defined. Navigation patterns and UI elements are simplistic, and the overall design lacks sophistication and adherence to current trends. There is minimal use of white space, leading to a cluttered appearance.","51 Elizabeth Rd, Bishop's Stortford CM23 3RL, UK",4.1,01279 503088,True,2025-07-27T12:16:36.123475
Lee Garden,http://www.leegardenbs.co.uk/,Outdated,85,"The website uses a fixed-width layout and lacks a modern grid system. The typography appears to rely on default system fonts rather than modern web fonts. The color scheme is basic, and the visual hierarchy is not well-defined. Navigation patterns and UI elements are simplistic, and the overall design lacks sophistication and alignment with current trends. There is minimal use of white space, leading to a dense content presentation.","45 Elizabeth Rd, Havers Ln, Bishop's Stortford CM23 3RL, UK",4.0,01279 652724,True,2025-07-27T12:16:49.126535
ELL tacos and churros,https://ellchurros.co.uk/,Unclear,0,Failed to take screenshot,"2B Rhodes Ave, Bishop's Stortford CM23 3JL, UK",4.6,01279 504898,False,2025-07-27T12:17:08.966262
Dawn's Gardens,https://dawnsgardens.co.uk/,Outdated,85,"The website uses a fixed-width layout and lacks a modern grid system. The typography appears to rely on default system fonts rather than modern web fonts. The color scheme and visual hierarchy are not well-defined, and the navigation patterns are basic. The overall design lacks visual sophistication and does not adhere to current design trends or mobile-first principles. Additionally, there is insufficient use of white space, leading to a cluttered appearance.","136 London Rd, Bishop's Stortford CM23 3LQ, UK",3.9,01279 654336,True,2025-07-27T12:17:41.040993
Flames Grill - Bishop’s Stortford,https://flamesgrillbishopsstortford.com/,Outdated,90,"The website design appears outdated due to its fixed-width layout, use of default system fonts, and lack of modern visual hierarchy. The navigation and UI elements seem basic, and there is minimal use of white space, leading to a cluttered appearance. The design does not reflect current trends in mobile-first design principles.","4, Thorley Neighbourhood Centre, Bishop's Stortford CM23 4EG, UK",3.4,01279 654666,True,2025-07-27T12:17:55.386156
